date,observed,trend,seasonal,resid
2019-08-19,0.0,95858.63571428573,43850.4095355246,-139709.04524981033
2019-08-20,115396.13999999998,91309.04285714288,38414.599230450534,-14327.502087593428
2019-08-21,16233.509999999995,91309.04285714288,41795.18525610053,-116870.7181132434
2019-08-22,443580.0600000002,91309.04285714288,67658.82526623465,284612.1918766227
2019-08-23,63953.59000000001,112037.28285714287,20801.18047695594,-68884.8733340988
2019-08-24,0.0,107449.47714285715,-111542.93456672598,4093.457423868822
2019-08-25,0.0,115912.4942857143,-100977.26519854026,-14935.22908717404
2019-08-26,145097.67999999996,64302.53428571427,43850.4095355246,36944.73617876109
2019-08-27,83281.5,55166.30714285713,38414.599230450534,-10299.406373307662
2019-08-28,75474.62999999999,55166.30714285713,41795.18525610053,-21486.862398957666
2019-08-29,82310.34,81591.40857142856,67658.82526623465,-66939.89383766321
2019-08-30,0.0,126041.17857142864,20801.18047695594,-146842.3590483846
2019-08-31,0.0,124705.98428571435,-111542.93456672598,-13163.049718988375
2019-09-01,184975.71,118591.30571428579,-100977.26519854026,167361.66948425447
2019-09-02,456246.0700000005,141830.56142857147,43850.4095355246,270565.0990359044
2019-09-03,73935.13999999998,143383.31571428577,38414.599230450534,-107862.77494473632
2019-09-04,32671.88000000001,143383.31571428577,41795.18525610053,-152506.62097038628
2019-09-05,244985.12999999995,116958.21428571435,67658.82526623465,60368.09044805095
2019-09-06,10869.280000000002,55127.534285714275,20801.18047695594,-65059.43476267021
2019-09-07,0.0,116517.40428571428,-111542.93456672598,-4974.469718988301
2019-09-08,0.0,111849.99285714285,-100977.26519854026,-10872.727658602584
2019-09-09,23431.310000000005,102901.11,43850.4095355246,-123320.2095355246
2019-09-10,503664.23,104917.69285714286,38414.599230450534,360331.9379124066
2019-09-11,0.0,104917.69285714286,41795.18525610053,-146712.87811324338
2019-09-12,182342.95,104917.69285714286,67658.82526623465,9766.431876622504
2019-09-13,24985.360000000004,127126.81428571427,20801.18047695594,-122942.6347626702
2019-09-14,0.0,76298.03857142857,-111542.93456672598,35244.89599529741
2019-09-15,0.0,81295.83142857143,-100977.26519854026,19681.433769968833
2019-09-16,178895.15999999995,68336.77285714285,43850.4095355246,66707.97760733249
2019-09-17,147862.8,121797.08428571429,38414.599230450534,-12348.883516164831
2019-09-18,34984.55,121797.08428571429,41795.18525610053,-128607.71954181482
2019-09-19,91629.54000000002,121797.08428571429,67658.82526623465,-97826.36955194891
