date,observed,trend,seasonal,resid
2020-03-22,940589.5700000002,883908.4439423075,350836.2458479915,-294155.1197902988
2020-03-29,189605.80999999985,896217.4406730765,-229177.97386441845,-477433.65680865827
2020-04-05,1045596.2700000003,910824.0708653843,137023.40792958142,-2251.208794965467
2020-04-12,563630.5099999998,916065.0878846151,217511.64113383938,-569946.2190184547
2020-04-19,153152.38000000003,924911.9322115382,48852.66328040485,-820612.2154919431
2020-04-26,418698.55999999953,926218.527403846,80031.53202953251,-587551.499433379
2020-05-03,277271.4399999999,918898.1512499999,-326012.59861236584,-315614.1126376341
2020-05-10,1064710.2200000007,917509.7313461537,38330.85940244949,108869.62925139753
2020-05-17,310806.9400000001,921890.1299999999,-502887.8949244739,-108195.29507552582
2020-05-24,415631.5599999999,930650.4584615383,-327070.1563667819,-187948.7420947565
2020-05-31,1055897.479999999,937257.5809615384,-17714.118337936256,136354.01737639695
2020-06-07,1574890.75,933749.3456730769,515239.4297870633,125901.9745398598
2020-06-14,328793.2599999999,932292.9585576924,-419984.8492994742,-183514.84925821825
2020-06-21,1398073.1299999994,944593.0909615386,61956.82517167935,391523.21386678144
2020-06-28,2216796.75,964945.0823076925,481709.5309889872,770142.1367033202
2020-07-05,769809.8400000002,960681.1344230772,-77648.3228090893,-113222.97161398773
2020-07-12,938927.5599999988,956504.1372115386,-125698.5855612655,108122.00834972566
2020-07-19,638326.5499999998,980927.8206730771,-234690.55365600775,-107910.71701706958
2020-07-26,426030.88000000024,1001381.6974038463,-375632.4563020321,-199718.36110181396
2020-08-02,839575.5900000002,1011893.0528846156,-117352.68603138952,-54964.77685322589
2020-08-09,838226.8799999997,1021041.8019230773,-210058.7969145942,27243.874991516524
2020-08-16,930018.8699999998,1023125.598365385,-214100.1036631827,120993.3752977975
2020-08-23,617366.5499999998,1025791.7286538467,-294177.816405361,-114247.36224848585
2020-08-30,548555.0199999998,1039913.3325000001,-349450.1128975391,-141908.19960246125
2020-09-06,963628.3099999995,1057522.334423077,-140854.51596023046,46960.49153715288
2020-09-13,1917637.6199999999,1074622.050673077,306059.4837014375,536956.0856254853
2020-09-20,588083.5599999992,1097021.5842307692,-152612.9536240742,-356325.0706066957
2020-09-27,2334460.2900000014,1122313.6566346153,424756.3734734916,787390.2598918946
2020-10-04,1074816.0199999998,1137723.585769231,105394.77922490292,-168302.3449941341
2020-10-11,1313459.5800000003,1153235.7274038463,64569.42212374982,95654.43047240414
2020-10-18,1491595.07,1190751.8423076926,142243.07803541748,158600.14965688996
2020-10-25,677154.0999999992,1234021.7359615385,-158939.41528368377,-397928.22067785554
2020-11-01,1234483.910000001,1261080.8409615387,342142.22453823785,-368739.1554997755
2020-11-08,1160375.599999999,1130758.6270560003,39266.590245344,-9649.617301345359
2020-11-15,1197047.3299999994,1137996.2410970766,140705.66721383238,-81654.57831090956
2020-11-22,1646818.5500000007,1145233.8551381528,171747.7637015523,329836.9311602956
2020-11-29,457342.8099999999,1152471.4691792289,-359750.773624831,-335377.88555439806
2020-12-06,1451726.1600000004,1159709.0832203052,528996.3682795555,-236979.29149986024
2020-12-13,747883.4199999998,1166946.6972613812,-184416.60340580248,-234646.6738555789
2020-12-20,1708223.340000002,1174184.3113024575,-11524.898200133855,545563.9268976783
2020-12-27,1389684.940000011,1181421.9253435335,-176616.50174446258,384879.51640093996
2021-01-03,90158.4,1188659.5393846098,-148242.9355131571,-950258.2038714527
2021-01-10,1662252.9399999997,1195897.1534256858,34141.72313234828,432214.0634419656
2021-01-17,2094870.2100000016,1203134.767466762,82994.52877250317,808740.9137607364
2021-01-24,1318278.4599999995,1210372.3815078381,-58990.34744631777,166896.42593847914
2021-01-31,1112014.6400000013,1217609.9955489144,-176900.85645359906,71305.50090468593
2021-02-07,1713914.579999998,1224847.6095899905,380100.9035134768,108966.06689653074
2021-02-14,1519357.9399999997,1232085.2236310667,243706.38117286234,43566.335196070635
2021-02-21,1056609.25,1239322.837672143,-183049.25549467583,335.66782253282145
2021-02-28,1700331.1599999976,1246560.451713219,-60776.11161734282,514546.81990412134
2021-03-07,2065709.3399999985,1253798.0657542953,418842.00559332455,393069.2686523786
2021-03-14,2202235.909999999,1261035.6797953714,277172.7657206578,664027.4644839701
2021-03-21,2248562.7099999995,1268273.2938364476,350836.2458479915,629453.1703155604
2021-03-28,1512008.1999999986,1275510.9078775237,-229177.97386441845,465675.2659868933
2021-04-04,1325826.51,1282748.5219186,137023.40792958142,-93945.41984818137
2021-04-11,1896663.0000000014,1289986.135959676,217511.64113383938,389165.222906486
2021-04-18,2721795.840000005,1297223.7500007523,48852.66328040485,1375719.4267188478
2021-04-25,2350124.040000003,1304461.3640418283,80031.53202953251,965631.143928642
2021-05-02,1159992.8800000001,1311698.9780829046,-326012.59861236584,174306.50052946137
