id,create_uid,code,create_date,reconcile,deprecated,company_id,write_uid,currency_id,note,internal_type,write_date,user_type_id,last_time_entries_checked,name,wtaxf
13,1,1.1.2.01.001,3/6/18 14:09,TRUE,FALSE,1,13,,,receivable,12/14/20 13:19,1,10/30/2019 18:53,Deudores por Ventas,
14,1,1.1.1.03.000,3/6/18 14:09,TRUE,FALSE,1,1,,,other,3/15/18 17:31,5,,Deudores Morosos,
15,1,1.1.2.01.003,3/6/18 14:09,TRUE,FALSE,1,1,,,other,3/15/18 17:31,5,,Deudores en Gestión Judicial,
21,1,1.1.3.01.000 ,3/6/18 14:09,FALSE,FALSE,1,1,,,other,3/7/18 21:20,5,, IVA Crédito Fiscal,
23,1,1.1.3.02.200,3/6/18 14:09,FALSE,FALSE,1,1,,,other,3/8/18 20:08,5,,Percepciones IIBB PBA,
24,1,1.1.3.02.000,3/6/18 14:09,FALSE,FALSE,1,1,,,other,3/8/18 20:07,5,,Créditos Ingresos Brutos,
25,1,1.1.3.02.100,3/6/18 14:09,FALSE,FALSE,1,1,,,other,3/8/18 20:07,5,,Percepciones IIBB CABA,
61,1,2.1.1.01.000,3/6/18 14:09,TRUE,FALSE,1,13,,,payable,12/11/20 19:07,2,,Proveedores,
62,1,2.1.1.01.001,3/6/18 14:09,TRUE,FALSE,1,1,,,payable,3/8/18 20:18,2,,Proveedor en cuentas corrientes,
79,1,2.1.1.01.002,3/6/18 14:09,FALSE,FALSE,1,6,,,other,11/30/20 21:14,9,,Cheques emitidos sin debitar,
80,1,2.1.1.01.003,3/6/18 14:09,FALSE,FALSE,1,13,,,other,12/4/20 13:38,9,,Tarjeta Visa BBVA a Pagar - Nito,cashin_out
81,1,2.1.2.01.000,3/6/18 14:09,FALSE,FALSE,1,1,,,other,6/4/19 15:18,9,,Sueldos a Pagar,cashin_out
82,1,2.1.2.02.000,3/6/18 14:09,FALSE,FALSE,1,1,,,other,6/11/19 15:18,9,,SUSS a Pagar,cashin_out
83,1,2.1.2.03.000,3/6/18 14:09,FALSE,FALSE,1,6,,,other,6/11/19 15:22,9,,Retenciones de 4ta a Pagar - Ganancias Empleados,cashin_out
84,1,2.1.2.04.000,3/6/18 14:09,FALSE,FALSE,1,1,,,other,3/8/18 20:14,9,,FAECYS a Pagar,
112,1,4100010,3/6/18 14:09,FALSE,FALSE,1,6,,,other,2/12/19 19:44,13,,Ventas,
132,1,5.1.2.01.002,3/6/18 14:09,FALSE,FALSE,1,6,,,other,2/27/19 15:02,9,,Compras de Materia Prima (cuenta puente),
166,1,4.1.1.01.004,3/6/18 17:18,FALSE,FALSE,1,1,,,other,3/6/18 17:18,14,,Ventas barras,
167,1,4.1.1.01.001,3/6/18 17:20,FALSE,FALSE,1,1,,,other,2/12/19 17:48,14,,Ventas snacks,
168,1,4.1.1.01.002,3/6/18 17:21,FALSE,FALSE,1,1,,,other,3/6/18 17:21,14,,Ventas galletitas,
169,1,4.1.1.01.003,3/6/18 17:21,FALSE,FALSE,1,1,,,other,3/6/18 17:21,14,,Ventas granolas,
170,1,4.1.2.05.000,3/6/18 17:21,FALSE,FALSE,1,6,,,other,3/11/19 13:18,16,,Ingresos por envios cobrados,
171,1,4.1.1.05.000,3/6/18 18:54,FALSE,FALSE,1,6,,,other,2/27/19 15:06,13,,Venta de Materia Prima,
172,1,1.1.4.04.100,3/6/18 18:56,FALSE,FALSE,1,6,,,other,8/31/18 19:28,5,,Materias Primas,
173,1,4.1.1.06.000,3/6/18 19:56,FALSE,FALSE,1,6,,,other,2/27/19 15:06,13,,Venta de Insumos,
174,1,1.1.4.04.300,3/6/18 19:57,FALSE,FALSE,1,6,,,other,2/12/19 18:10,5,,Insumos para produccion,
175,1,4.2.1.02.000,3/6/18 20:11,FALSE,FALSE,1,6,,,other,3/8/19 20:44,17,,Costo por Insumos varios para producción,
176,1,4.1.2.06.000,3/6/18 20:50,FALSE,FALSE,1,6,,,other,2/12/19 19:44,13,,Otras Ventas,
177,1,1.1.4.04.200,3/6/18 21:00,FALSE,FALSE,1,6,,,other,2/12/19 18:11,5,,Producción contratada con terceros,
178,1,4.2.2.01.000,3/7/18 15:15,FALSE,FALSE,1,6,,,other,3/8/19 20:39,16,,Sueldos Comercialización,cashin_out
180,1,4.2.1.08.000,3/7/18 15:19,FALSE,FALSE,1,6,,,other,3/8/19 20:35,16,,Gastos de fletes productivos,
181,1,4.2.2.03.000,3/7/18 15:20,FALSE,FALSE,1,6,,,other,3/8/19 20:36,16,,Gastos de fletes comerciales,
184,1,4.2.2.08.000,3/7/18 15:23,FALSE,FALSE,1,6,,,other,2/12/19 17:57,14,,Descuentos Concedidos,
185,1,4.2.2.08.001,3/7/18 15:24,FALSE,FALSE,1,6,,,other,2/12/19 17:57,14,,Descuentos por acuerdos comerciales,
186,1,4.2.2.12.000,3/7/18 15:25,FALSE,FALSE,1,6,,,other,3/8/19 20:08,16,,Decomisos por corto vencimiento,
187,1,4.2.2.06.000,3/7/18 15:25,FALSE,FALSE,1,6,,,other,3/8/19 20:09,16,,Gastos en ferias,
